,0
0,어이가 없네
1,
2,서너 평 남짓의 반 지하 원룸.
3,"소형 냉장고와 커튼으로 덮인 헹거, 그리고 화장대와 식탁을 겸하는 1인용 좌식책상이 자리한 단출한 공간이었다."
4,"‘후두둑, 후두둑, 투둑, 투둑’"
5,골목길에 걸쳐진 창틀로 제법 굵은 빗방울이 부딪히고 있었다.
6,방안을 떠돌던 희미하던 곰팡내는 여름장마의 습기를 머금고 점점 짙어지다 회전하는 선풍기 앞에서 흩어지길 반복했다.
7,“기분도 꿀꿀한데 비까지 오고 아주 그냥 우울이 쌍쌍바네.
8,"하아...주님, 정말 주님이 아니었다면 제가 무슨 재미로 살았을까요?”"
9,[...... ]
10,“내 영혼의 닭고기 수프 맥주님~~~
11,크으...조오타!! ”
12,[...... ]
13,"체리 색 칠이 군데군데 벗겨진 개다리소반 위로 한 쪽 팔을 괴어 기댄 채, 반 쯤 비워진 맥주 캔을 향해 열렬히 고백중인 이 여자."
14,박서연은 초저녁부터 시작한 혼술에 얼큰하게 취해 있었다.
15,선풍기 바람에 파르르 떨어대는 검정 비닐봉지 속에는 구겨진 빈 맥주 캔이 그득했고 그녀의 고백을 묵묵히 받아주고 있는 맥주 캔이 마지막 남은 것이었다.
16,자신의 주량을 초과한 게 이미 한참 전이지만 서연은 성에 차지 않는지 남은 맥주를 들이키느라 꿀렁이는 목울대를 멈추지 않았다.
17,하긴 어찌 취하지 않고 배길까.
18,오늘처럼 거지같은 날에.
19,* * *
20,"“서연 씨, 이거 내 청첩장.”"
21,"헐, 대박. 너 같은 또라이도 결혼이란 걸 하긴 하는구나."
22,"“어머 오 과장님, 완전 축하드려요~ 청첩장도 너무 예쁘고. 역시 과장님 센스!”"
23,“날짜가 좀 급하긴 한데 이 날이 길일이라고 그이 집에서 어찌나 서두르는지...호호. 내 결혼식 올 거지?”
24,... 너의 그이에게 애도를 표한다. 진심이다.
25,"“그럼요 오 과장님, 당연히 가야죠."
26,그런데 날짜는 어... 이번 주 토요일...이네요? 아 하하하... ”
27,“왜에? 자기 혹시 다른 스케줄 있어? 설마... 못 오는 거야?”
28,무슨 소리냐. 천지가 무너져도 가야지.
29,"암, 네 발로 기어서라도 가야 하고말고."
30,니 결혼식에 감히 나 따위가 불참하고 살아남을 수나 있겠냐?
31,아니 그런데... 하는 건 좋다 이거야.
32,"그런데 허고 많은 날 중에 왜 하필 이번주인거니, 응?"
33,월급 날 지나고 하면 좀 좋아?
34,“어머~ 무슨 말씀이세요.
35,오 과장님 결혼식에 제가 빠질 수야 있나요.
36,있던 스케줄도 취소하고 가야죠.”
37,“그치? 정말 다행이다.
38,나도 자기 없으면 무지하게 섭섭할 것 같거든.
39,여기 음식이 비싼 값을 하는지 맛이 꽤 괜찮더라고.
40,편하게 밥 한 끼 한다 생각하고 오면 돼.
41,"아 참, 사진은 꼭 찍고 밥 먹는 거, 알지?”"
42,자기는 너한테 낚인 그 불쌍한 작자가 자기고. 난 자기 아니고 완전 남이거든!!!
43,평소에는 그렇게 쥐 잡듯이 잡아대더니.
44,이제 와서 결혼식 기념사진 배경이 아쉽냐?
45,에라이... XXX!!
46,“아이 그럼요.
47,"그 정도 에티켓은 하객의 기본이죠, 호호호... ”"
48,억지 웃음을 짜내며 비루한 통장 잔고를 떠올리자니 속이 아주 썩어 문드러졌다.
49,"비싼 밥 운운하는 거 보니 5만원, 7만원은 꿈도 꾸지 말라는 건데..."
50,축의금은 최소 10만원.
51,젠장! 이번 달도 마이너스다.
52,* * *
53,낮에 있었던 일을 생각하니 술기운이 뻗쳐올랐다.
54,“아 놔 진짜...
55,"얼굴도 성격도 쌍으로 개차반인 오 과장도 결혼이란 걸 한다는데, 응?"
56,"서연이야, 박서연이야 너는 대체 여태껏 뭐하고 살았니이~~엉?”"
57,허공을 향해 대거리를 하며 손을 휘둘러대자 시야가 핑 돌았다.
58,곧 죽어나갈 개다리소반이 내 팔꿈치 무게를 견디느라 애달프게 부들거렸지만 이거라도 지탱하지 않으면 고꾸라질 것 같았다.
59,내가 많이 마시긴 했나보네.
60,원래 평일에는 다음날 출근 걱정에 절대 과음하지 않는 게 내 철칙이었는데.
61,"하, 철칙 따위 이제 개나 물어가라지."
62,지킬 거 다 지켜가면서 열심히 일 해봤자 회사는 절대 나를 지켜주지 않는다.
63,"하긴, 피로 맺어진 부모도 나를 버렸는데 고작 근로계약서 한 장으로 맺어진 회사가 뭐라고 나를 지켜준단 말인가."
64,금수저? 은수저?
65,"아주 옛날, 뭣 모르던 어릴 때는 그런 꿈을 꾼 적도 있었다."
66,잘 차려입은 후원자들이 고급 승용차를 몰고 고아원을 방문할 때마다 혹여나 돌아가는 차 뒷좌석에 나를 태워가지는 않을까 하는.
67,그런데 그런 행운은 내게 없었다.
68,왜냐고?
69,레벨이 안돼서.
70,우습지만 고아원생들 안에서도 갑과 을은 존재했다.
71,나는 아쉽게도 을의 위치였다.
72,"외모든, 재능이든 뭐 하나 특별하지 않아서 을이었다."
73,그렇게 수저 없이 맨 손으로 흙 파먹고 살아온 짠 내 나는 32년 인생.
74,"그저 남들처럼 취직하고, 결혼하고, 아이를 낳고..."
75,그렇게 살고 싶었다.
76,"온전한 내편, 사랑하는 가족과 함께 살아가고 그 곁에서 늙어가는 것."
77,하지만 이 평범한 꿈도 나에게는 사치였다.
78,졸업하자마자 대출 갚기에 급급해서 전공인 디자인과는 전혀 상관없는 백화점 판매원으로 취직을 했다.
79,6년 만에 겨우 겨우 학자금 대출 전액 상환을 하고 보니 내 나이 서른.
80,"손에 쥔 건 보증금 오백에 육십 짜리 월세 방, 그리고 세계 백화점 대리라고 찍힌 명함이 전부였다."
81,그 나이에 대리 직함이면 순탄한 거 아니냐고?
82,계속 버텨냈다면 그랬겠지.
83,하지만 진상 손님 슈퍼 갑 질은 참아도 기름진 직장 상사놈의 성희롱은 참을 수가 없었다.
84,대차게 들이 받았더니 바로 다음날 백화점 명품관에서 상설 할인매장으로 좌천 되었다.
85,회사의 품위를 손상 시켰다는 것이 이유였다.
86,다 개소리였다.
87,내 엉덩이를 주무른 상사놈은 그 해에 승진을 했다.
88,그때 생긴 울화가 쌓이고 쌓여 얻게 된 소화불량에 역류성 식도염.
89,나는 그들과 절친이 되어 2년째 동고동락 중이다.
90,좀 괜찮다 싶다가도 금세 재발하는 지랄 같은 병이라 어떨 땐 한 달 치 편의점 맥주 값보다도 약국에서 쓰는 돈이 더 많았다.
91,목구멍이 포도청이라 근근이 참고는 있지만 이렇게 10년을 더 버틴다 한들 쥐꼬리 만 한 월급으로 어느 세월에 목돈 한번 만져볼까?
92,전세가는 억 소리 나는데 내 월급은 악 소리 밖에 안 나오는 게 아픈 현실이다.
93,"그래, 쥐뿔도 없는 주제에 결혼은 무슨."
94,... 술이나 마시자.
95,“아이쒸. 뭐야 엄써어?
96,따~악 한 캔만 더 하고 시픈데...”
97,평소 같았으면 귀찮아서 그냥 씻고 잤을 텐데.
98,"웬걸, 간만에 불붙은 알코올 파워가 귀차니즘을 이겨버렸다."
99,검은색 장대 우산을 들고 삼선 슬리퍼를 질질 끌며 원룸을 나서자 후텁지근한 바람이 불쾌했다.
100,절로 걸음이 빨라졌다.
101,“아흐... 왜 이르케 어두워어.”
102,고장 난 가로등 때문인지 취기에 흔들리는 시야 때문인지.
103,도로 공사 한답시고 좁은 골목 가에 켜켜이 쌓아놓은 철근과 공사 자재들이 연신 발에 채였다.
104,“이눔의 공무원 시키들은 내 도온 거더가서 어따갖다 쓰는 거야?
