,0
0,1-1 In another
1,
2,(1/4)
3,"하늘을 가릴 만큼 울창하게 자란 나무, 나무기둥 사이로 도사린 어둠 그리고 음산한 기운을 내뿜는 검은색 제단."
4,"김이림은 도시에서 태어났고, 여행조차 영상시청으로 대리만족하는 집순이였지만 이 우중충한 숲이 어딘지 아주 잘 알고 있다."
5,"알고 있는 정도가 아니라 수십, 수백 번을 들락거린 장소였다. 그러니까,"
6,게임에서 말이다.
7,버려진 제단 「슬레인」
8,일주일 전 출시한 모바일 롤플레잉게임 <언아더>의 시작 스테이지.
9,"공개된 4개의 시나리오 중 첫 번째였고, 공식 카페에서 공략도 친절하게 올려준 일명 튜토리얼 맵이었다."
10,남들은 이틀이면 다 깬다는 걸 일주일이나 걸려 깼으니 모를 수가 없었다.
11,"다만, 잘 자다가 눈을 떴는데 갑자기 숲 속, 그것도 게임 속 장소라면 누구나 잠깐은 넋이 나간다는 거였다."
12,헐? 하고 입을 벌렸던 그대로 한참을 굳어 있던 김이림은 돌연 경기를 일으킬 것처럼 몸을 떨다가 그대로 엉덩방아를 찧고 말았다.
13,“아!”
14,깔린 게 축축한 흙인데 넘어진 곳이 하필이면 돌출된 나무뿌리 위였다.
15,꼬리뼈를 타고 올라오는 얼얼함에 눈물이 찔끔 났다. 그리고 아프다는 사실에 표정이 일그러졌다.
16,아파? 왜 아파? 아프면 안 되는데?
17,"“아, 제발….”"
18,눈을 질끈 감자 고여 있던 눈물이 주룩 흘렀다. 울고 있는데도 울고 싶은 심정이었다.
19,*
20,어느 날 이었다. 어쩌다보니 친구가 된 SNS 이웃이 대화를 걸어왔다.
21,[자업자득 님: 혹시 핸드폰으로 게임 해요?]
22,"뜬금없는 질문이었지만, 대답 못할 질문도 아니라서 곧바로 답장했다."
23,[2lim 님: 네]
24,너무 단답인가. 보내놓고 나니 신경이 쓰여서 이모티콘이라도 붙일까 고민하고 있는데 갑자기 질문이 홍수처럼 쏟아졌다.
25,[자업자득 님: 어떤 게임이요? 얼마나 해요? 모험이나 싸우는 게임 좋아해요?]
26,"[2lim 님: 쿠o런이요. 손 심심할 때 하고요. 모험, 전투는 별로...]"
27,[자업자득 님: 이런]
28,[2lim 님: 왜요??]
29,[자업자득 님: 사실 제가 이번에 게임을 만들었거든요]
30,그런데 베타기간 없이 바로 오픈하게 돼서 다른 누군가 플레이해보고 리뷰를 해줬으면 좋겠다는 거였다.
31,"캐릭터 생성, 종족, 직업 설정도 다 해서 줄 거고 선물까지 주겠다고 했다. 그렇게까지 말하는데 싫다고 거절하기도 뭐해서 알겠다고 대답했다."
32,"캐릭터는 어떻게 커스텀 해주면 되겠냐고 묻기에 흑발, 흑안이고 귀여웠으면 좋겠다고 했다."
33,[종족은 뭐로 해줄까요?]라는 질문에는 곰이라고 했다. 마침 보고 있던 영상에 곰이 나오고 있었기 때문이다.
34,"그러고는 까맣게 잊고 있었는데 이웃은 며칠 후 게임링크와 함께 아이디, 비밀번호를 같이 보내왔다."
35,[2lim 님: 자득님! 캐릭터 너무 예뻐요!]
36,[2lim 님: 으악 곰돌이 진짜 졸귀ㅠㅠㅠㅠㅠ]
37,[2lim 님: 그런데 조작이 너무 어려워요… 저 5분 째 나무기둥 사이에 갇혀 있어요]
38,처음해보는 3D게임은 멀쩡하게 걷는 것부터가 난관이었다. 나무인형을 힘차게 때려야 하는데 그 인형한테 가는 것부터가 이미 퀘스트였다.
