,0
0,프롤로그
1,
2,1
3,황실 제5기사단의 본관 정문계단 앞에는 부단장을 중심으로 기사들이 시립해있었다. 오늘을 마지막으로 기사단을 떠나는 기사단장을 배웅하기 위함이었다.
4,부단장 칼리프는 손목에 찬 시계를 힐긋 바라보았다. 슬슬 떠나기로 예정된 시간이었다.
5,이윽고 굳게 닫힌 정문이 열렸다. 기사들은 일제히 계단 위를 올려다보았다. 드디어 오늘의 주인공이 모습을 드러냈으나 중앙계단을 내려오는 자는 한 명이 아니었다.
6,거구의 중년남성 등에는 가려질 정도로 작은 체구의 여인이 달라붙어있었다.
7,"“할아버지. 정말 가? 다시 한 번 생각해봐, 어?”"
8,검은 머리는 겨우 단발 길이로 짧았다. 앳된 티가 가시지 않은 동그란 얼굴과 물기어린 큼직한 두 눈은 누가보아도 순해보였다. 올해로 갓 스무 살인 아나샤 라이나였다.
9,"“아샤…, 자꾸 애처럼 굴지 마려무나. 네가 이렇게 울고 불며 붙잡아도 이미 정해진 일이야. 어쩔 수 없단다.”"
10,“그치만…! 안 울게 생겼냐고.”
11,“기사가 그렇게 우는 거 아니라고 몇 번을 말해!”
12,중년남자가 버럭 고함치자 아나샤는 눈꼬리에 매달린 눈물을 훔쳤다. 큽 하고 내려오던 콧물을 도로 집어넣고서 얼굴과 어울리지 않게 단호히 말했다.
13,“할아버지가 아니면 난 싫단 말이야.”
14,“누가오든 단장은 단장이야. 무를 수 없는 황실의 명이란 말이다. 네가 이 기사단의 일원이라면 무조건 받아들이는 수밖에 없단다.”
15,“그치만!”
16,"“그치만은 무슨 그치만이야! 나도 좀 쉬자, 이것아!!”"
17,계단을 내려와서도 두 사람의 실랑이는 계속되었다. 가려는 자와 붙잡는 자의 상황을 아래에 집합해있던 기사들은 그저 질린다는 눈으로 지켜보았다.
18,“또 시작이네요.”
19,“마지막 날은 좀 얌전할 거라 여겼는데…….”
20,"기사들 중 엘빈은 짧은 감상을 던졌고, 크리스는 두통에 시달리는 얼굴로 한숨을 쉬었다. 경례를 올리려던 부단장 칼리프는 굳은지 오래였다. 그를 의식한 기사들은 웃음을 참느라 살을 꼬집거나 다른 곳을 보며 딴청을 부렸다."
21,“할아버지 가지마! 은퇴 그거 좀 미루면 되지!”
22,“그래도 아샤 마음이 이해가 안 되는 것도 아니지. 단장님께서 정말 친손녀처럼 아껴줬으니…….”
23,훤칠한 키의 기사들 중에서도 눈에 띌 만큼 산만한 덩치를 가진 마브릭이 아련한 눈을 하며 말했다. 그것도 잠시였지만.
24,“할아버지 가면 난 누구랑 노냐고. 단장실 소파에 누워서 노는 것도 이제 못하잖아!”
25,“......그래. 아껴도 너무 아껴줬지. 그러니까 저렇게 버릇이 없지.”
26,기사 크리스가 담담하게 가라앉은 눈으로 말했다. 14년을 이 기사단에서 자라온 아나샤였다. 그 시간동안 단장직을 맡고 있던 아버트 벨더스는 누구보다 아나샤를 오냐오냐 대했던 장본인이었다.
27,그리고 그 장본인은 오늘로 은퇴하게 되었다. 말괄량이를 이 기사단에 남겨둔 채.
28,뒤늦게 굳은 얼굴을 푼 칼리프가 단장 아버트에게 다가갔다.
29,“모든 짐은 다 실어두었습니다. 바로 오르시면 됩니다.”
30,“그래. 아샤녀석 좀 잘 붙잡아주게나.”
31,“할아버지!”
32,아나샤가 외쳤지만 씨알도 먹히지 않았다.
33,“그간의 노고에 기사단을 대표해 감사인사 드립니다. 모두 아버트 단장님께 경례!”
34,기사들의 거수경례를 받으며 아버트는 마차에 오르기 위해 발을 움직였다. 그리고 고개를 돌려 기사들의 손에 붙잡힌 아나샤를 내려다보았다.
35,“적적하면 영지로 언제든 놀러오렴. 기다리고 있으마. 물론 이번에 오는 단장이 그만큼 긴 휴가를 내줄진 모르겠지만 말이다!”
36,하하 하고 짓궂은 웃음을 터뜨린 아버트가 마차에 올랐다. 투명한 마차창문 너머로 수염을 쓸면서 앉아있는 그의 모습이 점점 멀어져만 갔다.
37,“안돼애애애!!”
38,마차 뒤꽁무니를 보며 아나샤는 절규했다. 마차가 사라진 후에도 한참동안이나.
39,*
40,"“그 뒤로 통 기운이 없네, 아샤.”"
41,마브릭이 걱정스러운 눈치로 먼발치 나무위에 앉아있는 아나샤를 바라보았다. 땅 위에 서있는 모습을 보기 힘들만큼 원래도 잘 안내려오는 아나샤라지만 최근에는 항상 혼자 저러고 앉아 멍 때리기 일쑤였다.
42,“그럴 만도 하지. 단장님 가시고 부단장한테 불려가서 몇 시간 동안 설교를 들었으니…. 그보다 난 새 단장님이 온 후가 더 걱정인데.”
43,벌써부터 걱정이 앞선다는 듯 크리스가 한숨을 내쉬었다. 아나샤의 성장과정을 봐온 사람으로서 아나샤가 얼마나 예법에 무지한지 잘 알고 있었다. 예법은커녕 일반적인 상식과 약간 어긋난 면도 있었다.
44,‘이럴 줄 알았으면 억지로라도 예법을 배우게 하는 거였는데.’
45,물론 이제와 후회를 해봤자 늦었다는 것을 크리스는 잘 알고 있었다. 그는 마브릭을 대신해 나무 밑으로 다가가 아나샤에게 말을 걸었다.
46,“아샤. 다음주에 새 단장님이 온다는 소식 들었지?”
47,“…새? 삼촌들은 몰라도 나는 아직 받아들일 준비가 안됐다고!”
48,“사람이 말을 하면 좀 들어!”
49,크리스는 벌써부터 머리가 지끈거린다는 양 미간을 주물렀다.
50,“…너 말이야. 네가 지금 얼마나 위태로운 상탠지 알아?”
51,“내가 왜?”
