,0
0,1화 과로사
1,
2,지긋지긋한 야근을 몇 달째 하다 보니 먹는 게 부실하게 될 수밖에 없었다.
3,조금만 더 하면 끝나는 프로젝트의 끝이 보였다.
4,아침부터 머리가 핑 돌았지만 부실한 아침 식사 때문이란 생각에 가볍게 생각했다.
5,그동안의 고생들이 드디어 빛을 보는가 싶었다.
6,고3 시절 어른들이 대학만 가면 모든 것이 해결된다는 말에 속아 고등학생 시절 죽으라 공부만 했다. 안정권으로 서울의 중상위 대학에 들어와 보니 고3 시절보다 더 지옥 같은 대학생활이 기다리고 있었다.
7,시간표에 맞는 수강신청부터 끝도 없는 과제….
8,거기다 수백만 원의 돈까지….
9,대한민국의 현실이었다.
10,휴학은 죽음이다 생각하며 하루를 쪼개고 쪼개서 졸업까지 했다.
11,졸업 전 바로 알만한 중견기업으로 취업하기까지 고생이었다.
12,그뿐이면 다인가……. 대학 때의 진상들은 손톱의 때만큼 비교도 안될 정도로…. 회사에는
13,"미친 인간들이 넘쳐났다. 또라이불변의 법칙…. 부서엔 또라이가 한 명씩 있었는데, 다른 곳으로 발령 나면 멀쩡하던 사람이 또라이로 변하는 무시무시한 사회생활…. 그 생활을 10년 이상을 버텼다. 오로지 승진을 위해서……."
14,이번 프로젝트가 끝나면 대리에서 과장 승진하는 게 정해졌다. 팀원의 모든 사람들이 축하까지 해줬다.
15,"동기인 김대리만 빼고……. 같은 대리면서 남자라는 이유로 여자는 안된다고 말하던 김 대리에게 본때를 보여줄 생각을 하니,"
16,콧노래가 절로 나왔다.
17,서류정리를 마지막으로 퇴근길에 가벼운 발걸음으로 길을 걷던 중 갑자기 시야가 어지러워졌다.
18,쿵…….
19,"""사람이 쓰러졌다!!!"""
20,"""누가 119 좀 불러줘요~"""
21,내 주변으로 웅성거리는 소리와 함께 난 다급하게 병원으로 옮겨졌다.
22,내 몸은 아래 간이 침대에 누워 있었던 거 같은데 난 붕 날아올라 내 몸을 보고 있었다.
23,"내 몸 주위로 의사들이 분주히 왔다 갔다 하며 호흡을 잡기 위해 고군분투 하고 있었지만, 이미 늦은 듯했다."
24,그리고 죽었다.
25,의사는 내가 과로사로 죽었다고 말했다.
26,말도 안 되는 과로사로…….
27,꽃다운 청춘 35살 과장이 되어보지 못한 채...
28,뼈 빠지게 주말도 없이 일만 하다가 죽었다.
29,만약 다음 생이 있다면 꼭 놀고먹는 인생을 살리라….
30,다짐했다.
31,2화 모든건 계획대로?!
32,
33,"눈을 떠 처음으로 본 곳은 화려한 문양의 천장과 샹드리제, 중세시대를 생각나게 하는 인테리어, 말도 안 되게 부풀어 오른 드레스와 멀미가 나올 거 같은 레이스 장식…. 이곳은 대한민국이 아니라는 생각이 들었다."
34,"손바닥을 펼쳐 위로 뻗어보니, 짧고 자그마한 아기 손이 보였다. 그리고 내 입엔 쪽쪽이가 물려 있었다."
35,아기인 내가 할 수 있는 게 뭐가 있을까.
36,"며칠을 누워서 자고, 먹고 하는 생활을 하며 생각했다."
37,마지막 기억으론 분명 의사가 쓰러져 있는 나를 보며 사망선고를 내리 던 게 기억났다.
38,그렇게 대한민국의 서른다섯 살 장세 휘는 과로사로 죽어버렸다.
39,억울했다. 그리고 다시는 일만 하며 청춘을 버리며 살지 않겠다 다짐한 기억이 났다.
40,"다시 태어난 나는 꽤 있는 집 자식으로 태어난 거 같다. 옆에서 기저귀를 갈아주고, 젖병을 물려주던 여자들이 나를 보며 아가씨라고 불렀다. 고급스러워 보인 비단옷을 입은 사람들이 가끔 와서 한 번씩 안아보곤 금방 사라졌다."
41,전생의 내 처지를 불쌍히 여겨 신이 이번 생은 돈 많은 집 딸 태어나게 해주고 평생 놀고먹으라는 계시인 게 분명했다.
42,다시 한 번 주먹을 불끈 쥐고 다짐했다. 놀고먹으며 흥청망청 살 거라고!!
43,"""루나아가씨께서 예쁘게도 웃으시네요~"""
44,유모인 사라가 나를 들어 올리며 따라 웃었다.
45,"다시 태어난 나의 이름은 루나 벨 브라이트고, 현재 17살이 되었다. 브라이트 가문은 원래는 평민이었다. 증조할아버지는 성문을 지키던 기사였다. 그당시 커다란 반란이 있었는데 증조할아버지가 크게 활약해 왕에 눈에 띄었고, 자작이 되었다."
46,"그 당시 살고 있던 땅을 하사받았다고 한다. 원래 평민이었기 때문에 마을 사정을 눈감아도 알 수 있을 정도였고, 평판이 좋았던 우리 가문 사람들에게 사람들도 협조적이었다. 나 또한 어린 시절엔 아가씨라고 불렸지만 마을 사람들과 허물없이 지내왔었다"
47,"적당히 그들과 지내며, 적당히 생겼고, 착하며 돈 좀 있는 집 자식이랑 결혼해 잘 먹고 잘사는 게 내 목표였다."
48,하지만 그 목표가 깨졌다.
49,"모든 원인은 어머니와 앙숙인 옆 동네 귀부인 세실리아 자작부인과 티타임을 가진 이후부터 시작되었다. 그날 화를 내며 들어온 이후부터 어머니는 급속도로 몸이 안 좋아지셨고, 침대에 누워계시는 날들이 많아지셨다."
50,팔불출인 아버지는 그런 어머니를 위해 멀리서 의원을 모셔오기도 했다
51,"""루나, 오늘 이렇게 널 부른 이유는 내가 죽기 전에 우리 가문에서 왕실 공무원 한 명 정돈 나와야 하지 않겠니? 너도 알다시피 우리 가문은 대대로 왕실기사 출신들이 많잖니 콜록"""
52,심하게 기침을 하며 좋지 않은 안색을 한 어머니가 말했다.
53,내가 아무 말도 없자 어머니는 마저 말을 이었다.
54,"""그래서 널 왕실로 보내야겠어."""
55,갑작스러운 말에 깜짝 놀라 말했다.
56,"""어머니, 갑자기 그게 무슨 말이에요? 제가 왕실에 가서 일한다니요?!"""
57,내 말이 끝나자 더욱더 기침하며 울먹거리는 목소리로 어머니는 말했다
58,"""죽은 사람 소원도 들어준다는데 이 어미를 위해 그 정돈 들어줄 수 있지 않겠니?"""
59,"""아무리 그래도…. 이렇게 갑자기…. 그리고 이미 지원 기간은 지났다고요"""
60,의기양양하게 말했다. 왕실에서 일하는 낮은 계급의 공무원들은 대게 황실에서 관리하는 아카데미 출신의 평민들이었으며 능력을 인정받거나 공을 새우면 작위를 받고 더 높은 계급으로 승진하는 게 일반적이었으며 물론 일부 공무원들은 귀족들의 자녀들을 왕실로 보내 일을 시키거나 능력이 뛰어날 시 추천받아 일을 했다. 물론 고위관리자들은 예외로 말이다.
61,자발적으로 왕실로 보낼 땐 신청 기간이 따로 정해져 있었다.
62,"""그건 이미 처리해두었다. 자작님께서 이미 신청해서 답까지 받았다."""
63,침대 옆 작은 서랍에서 황실도장이 찍혀 있는 편지를 꺼내 내게 건넸다.
64,'루나 벨 브라이트 자작영애
65,왕실의 일원으로 받아들인다.
66,대력 17년 5월 1일까지 왕실로 입궁하길 바란다'
67,부들부들 떨면서 편지를 노려보고 있자 어머니는 다시 말했다.
68,"""딸 걱정 마라 알아보니 왕실에서 지낼 고도 마련해주고 짐은 이미 사라가 다 싸서 마차에 실어두었단다 넌 출발만 하면 돼"""
69,파리해진 안색을 한 어머니가 웃었다.
70,^^^
71,2화 모든건 계획대로?!
72,
73,"""전 절대 안가요! 안간다구요! 어떻게 저한테 한마디 말도 없이 이런일을.."""
74,배신감에 떨리는 목소리로 말하자 내말이 끝나기도 전에 어머니는 더욱더 심하게 기침하셨다.
75,"""콜록콜록 콜록 컥"""
76,입을 가리던 하얀손수건 사이로 빨간 피가 보였다.
77,"""어머니..피...피가!!!"""
78,"""사실 몸이 점점 안좋아진다는걸 요즘들어 느끼는구나.. 이제 얼마 남지 않았어.."""
79,태연히 입가의 묻은 피를 닦아내며 어머니는 쓸쓸하게 웃으며 말했다.
80,"""우리가문을 위한 나의 마지막 소원이구나"""
81,'이렇게까지 말하는데...'
82,어린시절 적응하기 힘들어하던 날 위해 부모님은 아낌없는 사랑을 나누어 주셨다.
83,결국 난 왕성으로 향하는 마차에 몸을 실었다. 떠나기전 아비지와 작별인사를 나눴다.
84,"""거기가서 기죽지 말고, 자 이건 내가 주는 비상금이란다. 내딸 건강조심하고 사랑한다. 그리고 이 못난아비를 용서해라"""
85,"""제가 죄송하죠, 어머니옆에서 간호해드려야되는데..."""
86,나의말에 화들짝 놀라며 지 내얼굴을 바라보지 못하며 손사레를 치며 급하게 말했다.
87,"""아..아니다 마지막 소원이라는데 들어줘야지."""
88,그렇게 난 17년동안 잘지내던 영지를 떠났다.
89,왠지 다시 시작된 고난길에 그곳에서도 잘 지낼까 걱정이 되었다.
90,'참 아버지가 주신 건 뭐지?'
91,"아버지가 주신 작은 상자에는 보석과 금화 몇개가 들어있었는데, 그사이로 편지가 보였다."
92,'사랑하고 사랑하는 내딸 루나
93,미안하고 정말 미안해
94,사실 몇일전에 다녀간 고 여우같은 기집애가 우리가문은 무식해서 몸으로 쓰는 일만 한다며 비웃는게 너무 열이받아 이런일을 꾸몄구나 그래도 여기보단 거기가 내 딸의 능력을 마음껏 펼쳤음 좋겠다는 생각에서 시작한것이니 너무 배신감 들지 않아했음좋겠다.
95,그리고 난 아주 건강하니 내 걱정은 하지말고 왕궁에서도 잘지내길 바란다. 그리고 만에 하나 다 때려치고 집으로 내려올시 그 뒷감당은 상상에 맡기마 참 하녀한명은 다음주정도에 올려보내마
96,P.S. 손수건의 피는 토마토주스였단다 엄마 연기력 짱이지?'
97,그리고 두번째장에는
98,'내딸 루나
99,미안하구나 부인이 너무 성화를 부려 이일에 가담하게 되었단다..
100,의사말로는 화병이라니 일이 해결되면 자연히 낫는다고 하는바람에...
101,그래도 난 널 사랑한단다'
102,"""이런...미친...... 당했다!!!!"""
103,처음부터 날 왕성으로 보내기위한 계획이였다.
104,부모님의 어이없는 사기연극에 화가나 편지를 박박 찢어버리고 마차안에서 소리소리를 지르며 발광을 시작했다.
105,"""어떻게 나한테!!!"""
106,부들부들 떨리며 이 배신감을 부모님에게 당장 표출하고 싶었지만 당장 집으로 가자니 어머니가 무서웠다.
107,역시 모든세계의 어머니는 무서웠다.
108,그래서 그렇게 나랑 눈도 못마주치고 쭈뼛거리던 아버지가 이해됬다.
109,나의 지랄발광을 하던중 마차는 수도에 도착했다
110,"""도착하셨습니다"""
111,^^^
112,2화 모든건 계획대로?!
113,
114,마부의 목소리에 발광을 멈추고 헝클어진 머리를 만지며 마차에서 내렸다. 왕성이 가까이 보이자 수도에 도착했다는 실감이 들었다. 내 앞에는 꽤 귀엽게 생긴 오두막집이 보였다.
115,"멍하니 집주변을 보고 있는데, 마부가 빠르게 짐을 옮겨놓고는 급히 사라졌다."
116,아마 마차 안에서 지랄발광을 하던 소릴 들은 게 분명했다.
117,"""아…. 먹고노는 생은 이번 생도 망했구나"""
118,"소리 내서 말하니 더 서글퍼졌다. 왜 하필 세실리아 자작부인과 그때 그런 말을 했으며, 어머니는 왜 그런 말에 넘어갔는지.."
119,이미 후회해도 늦었지만 말이다.
120,이내 정신을 차리고 긴 갈색 머리를 질끈 묶고 짐을 꺼내 정리를 시작했다.
121,"평상복과 잠옷, 언제 받은 것인지 모를 왕성에서 입는 제복(제복을 본순간 소름까지 돋았다.)까지.. 한참 정리를 끝마치자 진이 빠졌다."
122,"며칠을 혼자 생활하는데 적응도 하고, 집 근처를 돌아보며 자주 가는 단골식당도 만들고, 필요한 생필품도 사두다 보니 시간이 빨리 지나갔다."
123,생각보다 5월 1일은 금방 다가왔다. 준비한 제복을 입고 집을 나오니 마차가 기다리고 있었다.
124,왕성 앞 분수대 앞에는 같은 제복을 입은 사람들이 웅성거리고 있었다.
125,가만히 구석진 곳에서 기다리자 분수대 돌담 위로 누군가 큰 소리로 말했다.
126,"""자 이제부터 명단을 부를 테니, 순서대로 서주시기 바랍니다 """
127,웅성거리던 소리가 이름을 부르는 소리로 조용해졌다.
128,그 많은 사람들이 세 그룹으로 나뉘어 맨 앞에 서 있던 하인을 따라 이동했다
129,우리는 한 달간 왕실에 관한 예의를 익혔다. 수도에서 떨어진 영지 사람들은 조금 다른 방식으로 생활했던 것들을 통합하기 귀한 교육을 받았다.
130,"한 달 동안 인사, 식사예절 등 기본적인 것들을 배우며 그 안에서도 4가지 그룹으로 나눴다."
131,"첫 번째 그룹은 아카데미 출신인 평민들로 출세를 위해 뭐든지 할 그룹이고, 두 번째 그룹은 귀족이지만 평민과 함께 일한다는 게 불만인 그룹, 세 번째 그룹은 귀족이지만 어떻게든 황태자나 공작, 꽤 권력을 손에 쥔 사람들과 혼인하고 싶은 그룹, 마지막은 내가 속해있는 그룹은 왕실에서 받는 월급만으로 감사해 하며 출세든, 혼인과는 멀고 일하는 것에 감사해 하는 평민들이 속해 있는 그룹이다."
132,그중에 주근깨가 잘 어울리는 아리엘과 빨간 머리가 인상적인 제니와 친구가 되었다.
133,"""오늘 드디어 일하는 부서가 정해진대. 좋은 사수 만났음 좋겠다"""
134,"""아까 하는 말 들었는데, 2명만 안 걸리면 된대…. 레이 조우라는 사람이랑 칼리아 딘 베네치아란사람…. 아주 유명하대 성격이 아주 특이하다고…. 밑에 직원들이 버텨내질 못한대"""
135,아리엘의 말이 끝나자마자 그동안 우리를 교육했던 사람들이 일일이 호명하며 위치가 적혀 있는 종이를 나누어 주었다.
136,"""루나 벨 브라이트 왕실 제1 과학관 소속 발령"""
137,위치가 적혀 있는 쪽지를 받자 내 주위로 아리엘과 제니가 사색이 되어 위로해주었다.
138,"""어쩜……. 레이 조우라는 사람이 거기 관리자라던데"""
139,"""루나"""
140,"'"" 힘내.."""
141,'여기 온 순간부터 불행이 연속이구나 내 인생이 어디 가겠어..'
142,"둘을 보며 올라가지 않는 입꼬리를 올리며, 웃어 보였다."
143,
144,
145,
146,[작품후기]
147,수정완료
148,^^^
149,5화 시작
150,
151,"커다란 장미공원은 지나쳐 건물사이의 커다란 복도를 지나니, 새하얀 건물이 나왔다.건물앞에는 '제1 과학관'이라고 써있었다."
152,심호흡을 하며 건물안으로 들어갔다.
