,0
0,0. 사람이.. 덕질 좀 할 수도 있지..
1,
2,""" 쓰읍, 하아.. """
3,"특유의 화려한 장미문양이 새겨진 금색 망원경 사이로, 음흉한 눈동자가 일그러져 보인다. 투명한 렌즈 너머 무슨 그렇고 그런 상상을 하는 것 마냥, 어둡게 가라앉은 녹색 눈동자는 어느 한곳에 시선을 고정시켜 움직일줄을 모른다. 마치 생선을 눈 앞에 둔 고양이마냥 입을 헤 벌린채 당장이라도 그곳을 향해 달려들 것만 같은 모습이, 꽤 예쁘장한 여자의 모습을 추하다고 생각하게 만든다."
4,뭘 그리 보길래 이런 표정을 지을꼬. 그 음험한 시선을 따라가보니.
5,"단아하면서도 고풍스러운 저택 속, 활짝 열려진 창문에."
6,""" ..래서, 이번 달의 예산이... """
7,꽤 심각한 표정으로 누군가와 이야기를 나누고 있는 훤칠한 미남이 보인다.
8,"깔끔하게 뒤로 넘긴 올블랙의 머리, 쌍꺼풀은 없지만 짙은 눈매 속에 담긴 밤하늘 같은 눈동자. 내 콧대 높소, 하고 당당히 자랑해도 될 정도로 높은 콧대에 각진 입매의 소유자. 그래, 프란틸 제국의 능력이 아주 뛰어나 미래가 유망하다는 젊은 공작, 레쉬블 프라이티아 펙티르 공작이다."
9,여자는 공작저의 3층 창문에 두꺼운 밧줄을 달아 그것을 타고 2층에 있는 공작의 집무실을 몰래 엿보고 있었다. 하악. 우리 공작님은 심각한 모습도 멋있어. 여자는 거친 숨소리를 내며 중얼거렸다.
10,""" ... ! 설마! """
11,"그 숨소리에, 무언가 눈치챈듯 펙티르 공작은 나누던 이야기를 중단하고 제 앞에 있던 기사의 칼을 뽑아 몸을 뒤돌며 창문을 향해 검을 집어던졌다."
12,"ㅡ쉬익, 부욱."
13,"날카로운 검이 무언가 굵은 것을 가르는 소리가 나며,"
14,""" 꺄아아악! 우리 공작님 검 던지는 것도 너무 멋있어.. ! 역시 저랑 결혼해ㅈ... ! """
15,쿵.
16,어떤 여자의 비명소리와 뒤이어 무언가 떨어지는 소리가 들린다.
17,공작은 얼굴을 험악하게 구기며 제 머리카락을 신경질적으로 쓸어올렸다. 그리고 짧게 욕짓거리를 내뱉었다.
18,""" .......끌고나가. """
19,""" 예. """
20,"공작의 씨근덕거리는 목소리에, 기사는 고개를 숙이며 명을 받들었다."
21,*
