,0
0,fairy tale
1,
2,<2019년 1월 13일 본문 전체 수정. 댓글과 맞지 않는 내용이 있을 수도 있습니다.>
3,"옛날옛날 아주 먼 옛날, 잔인한 왕과 왕의 열여덟 자식들이 붉은 돌을 쌓아 만든 아름다운 성에 살고 있었습니다."
4,"그 중 열한 번째 자식인 금발머리 공주님은 왕이나 다른 형제자매들과 달리 백성들을 매우 사랑했답니다. 백성들은 그런 공주님을 존경했습니다. 그녀를 사랑하여 그녀가 왕위에 올라야 한다며 찬양했지요. 그러나 공주님은 그런 백성들의 바람을 들어 줄 수 없었습니다. 금발머리 공주님은 왕의 첫 번째 자식도 아니었을 뿐 더러, 공주님의 어머니가 천한 출신이기 때문이었습니다."
5,"그러던 어느 날, 백성들에게 사랑받는 금발머리 공주님을 질투한 첫째 왕자님이 금발머리 공주님을 죽이려 자객을 보냈습니다. 자객을 피해 도망가던 공주님은 잔인한 왕에 반발해 반란을 도모하고 있는 반란군의 군주를 만나게 되었습니다. 반란군의 군주는 공주님을 죽이고 싶었지만 자비롭고 상냥한 공주님을 죽이지 말라는 사람들의 부탁으로 어쩔 수 없이 공주님을 살려주었습니다."
6,공주님은 반란군과 함께 지내며 그들이 겪고 있는 수많은 어려움과 괴로움에 마음이 빼앗겼습니다. 공주님은 그들의 고통에 마음깊이 공감하여 그들과 함께 눈물을 흘렸습니다. 공주님은 진심어린 사랑과 보살핌으로 그들을 대해주었습니다. 거기다 함께 지낸 1년 동안 공주님과 반란군의 군주는 사랑에 빠지고 말았습니다. 반란군의 군주는 공주님께 무릎 꿇고 얘기 했습니다.
7,‘반란에 성공하게 된다면 당신을 우리의 주군으로 모시겠습니다.’
8,"그러던 어느 날, 왕궁에서 사람들이 공주님을 찾아왔습니다. 때 마침 반란 준비를 마쳤던 반란군의 군주는 공주님과 다시 만날 약속을 하고 공주님을 보내주었습니다. 공주님은 군주와 한 약속의 증표인 푸른 칼을 품에 지닌 채 왕궁으로 돌아갔습니다."
9,"그리고 그 날 저녁, 반란군의 군주는 왕궁을 습격했습니다. 그들은 먼저, 성문 근처서 노닐고 있던 공주님의 형제들을 모조리 죽였습니다. 근처에 있던 왕궁의 기사들은 검을 빼어 들기도 전에 반란군들의 손에 목숨을 잃고 말았습니다."
10,"처음부터 수월하게 이루어지는 반란에 신이 난 반란군들은 한층 더 힘을 내서, 성의 안쪽 깊숙이 침입했습니다. 그들은 여기저기에 숨어 있던 공주님의 또 다른 형제들을 죽여 버렸습니다. 그간 그들이 겪어왔던 고통이 고스란히 담겨있는 무자비한 난도질이었습니다. 반란군들은 계속해서 전진했습니다. 전진하고, 전진하다 반란군의 군주는 그를 기다리고 있는 금발머리 공주님을 발견했습니다. 그녀의 곁에는 왕이 함께 있었습니다."
11,"그 순간, 반란군의 군주는 망설였습니다. 그녀를 주군으로 삼겠다 말했지만 막상 왕위 찬탈이 눈앞에 있으니 욕심이 생겼거든요. 반란군의 군주는 중앙 성의 문 앞에서 도망치려 애쓰는 못되고 뚱뚱한 왕과 그런 왕을 보호하고 있는 기사들을 향해 창을 휘둘렀습니다. 그렇게 하나, 둘. 기사들을 찔러 죽인 반란군의 군주가 마지막으로 못된 왕의 심장에 푸른 창을 꽂아 넣은 순간, 금발머리 공주님은 기뻐하며 반란군의 군주 곁으로 다가갔습니다."
12,"하지만 공주님의 기쁨은 오래가지 않았습니다. 반란군의 군주가 금발머리 공주님을 향해 창을 겨누었기 때문입니다. 금발머리 공주님은 반란군 군주의 푸른 눈동자에서 그 속에 어린 욕심을 읽어냈습니다. 이대로라면 공주님의 목숨마저 위태로워질 게 분명해서 공주님은 반란군의 군주를 먼저 공격했습니다. 소중하게 품고 있던 약속의 증표인 푸른 칼로 말이죠. 반란군의 군주는 추풍낙엽처럼 스러졌고, 공주님은 눈물을 머금은 채 그를 배신한 반란군 일당을 처단했습니다."
13,그리고 공주님은 스스로 여왕의 자리에 올랐습니다.
14,시간이 흘렀습니다. 공주님이 다스리는 나라는 이전 왕이 다스렸던 나라보다 훨씬 평화롭고 살기 좋은 나라가 되어있었습니다. 백성들은 이제 여왕님이 된 공주님을 칭송했습니다.
15,시간이 또 흘렀습니다. 백성을 사랑한 금발머리 공주님의 머리가 새하얗게 새어가던 어느 날 이었습니다. 정무를 보던 여왕님의 앞에 어느 날 신이 나타났습니다. 신은 여왕님께 함께 가지 않겠냐고 물었습니다. 마지막으로 창밖을 응시한 여왕님은 신의 손을 붙잡았습니다.
16,백성을 사랑했던 금발머리 공주님은 그렇게 편안하게 일생을 마감했습니다. 그리고 반란 당시 유일하게 살아남았던 공주님의 동복동생이 다음 왕이 되었죠.
17,백성들은 그들을 사랑으로 굽어 살핀 금발머리 공주님을 영원히 기억할거예요.
18,*
19,"“오라버니, 저 이거 읽어주세요.”"
20,여섯 살 남짓의 어린 소녀가 소중하게 품에 안은 채 들고 온 동화책을 받아든 소년의 눈빛이 어둡게 내려앉았다.
21,"“엘리자베스, 이게 어디서 났지?”"
22,"“아버지가 사다주셨는데, 왜요?”"
23,“숙부께서…….”
24,고민하듯 느리게 고개를 천천히 한쪽으로 기울인 소년의 눈동자에 이채가 어렸다.
25,"“미안하지만 엘리자베스, 이 책은 보지 않는 게 좋겠다.”"
26,“네? 왜요?”
27,“온통 거짓말만 쓰여 있거든.”
28,사촌 동생이 놀라지 않을 정도로 거칠게 동화책을 내려놓은 소년이 금방이라도 울먹일 것 같은 동생을 번쩍 안아들고 제자리에서 한 바퀴 돌아보였다.
29,“저런 건 네 정서에도 좋지 않아.”
30,“그렇지만 고모할머니 얘기잖아요. 거짓말인 걸 오라버니가 어떻게 알아요?”
31,“그러게 나도 몰랐으면 좋았을 텐데.”
32,어리둥절한 동생의 시선을 받으며 빙그레 웃어 보인 소년이 동생을 고쳐 안았다. 문을 열고 나가며 테이블 위에 팽개쳐진 책을 돌아보는 소년의 눈동자가 서슬 퍼렇게 빛났다.
33,"“내 얘기를 써놨으니, 모를 수가 없지.”"
34,
35,
36,
37,[작품후기]
38,두근두근
39,교차하는 시간
40,
41,"*본 회차는 가정폭력, 또래사이의 폭력을 묘사하고 있습니다. 트라우마가 있거나 거부감이 있으신 분은 지나치고 다음화부터 감상해주세요. 이번 화는 주인공의 주변 인물과 처한 상황을 묘사하기 위한 장치라 보지 않으셔도 감상에는 지장없습니다*"
42,"“야, 너 너희 엄마가 외도해서 낳은 애라며?”"
43,자그마한 공터에 앉아 흙 놀이를 하고 있던 손이 문득 멈췄다. 때가 낀 낡은 옷자락을 입고 있던 금발 머리의 소녀가 고개를 들어올렸다. 검댕과 흙먼지로 검게 변한 얼굴에서 푸른 눈동자가 호기심을 담고 빛났다. 자신을 둘러싼 소년들을 응시하다가 우물쭈물하던 소녀가 고개를 갸웃했다.
44,“외도가 뭔데?”
45,“너희 엄마가 바람 펴서 낳은 자식이라고 이 멍청아!”
46,“뭐? 아냐! 난 우리 아빠 딸인걸.”
47,“아니거든? 너 너희 아빠랑 하나도 안 닮았잖아! 너희 엄마도 안 닮았고.”
48,소년이 신랄하게 말하며 머리를 흔들었다. 그 당당한 기세에 잠깐 주춤했던 소녀는 이윽고 얼굴을 붉히며 고개를 가로저었다.
49,"“아니야, 나 우리 엄마랑 닮았어.”"
