,0
0,프롤로그
1,
2,*
3,조금이라도 날 바라봐준다면 그대로 달려가 치맛자락을 붙잡고 엉엉 울 것 같았다. 그러나 어미의 시선은 끝끝내 나에게 향하지 않았고 반면 이부 오라비의 시선만이 내게 가시처럼 박혀왔다.
4,"억세게 치맛자락을 붙잡고 모질게 오라비를 외면했다. 그럼에도 두 눈 똑똑히 어미가 붙잡은 오라비의 손이 보였다. 그 귀하다던 눈 여우의 가죽으로 만든 장갑임에도 내 손만이 홀로 삭풍에 에이는 것 같았다. 그것은 결단코 내겐 단 한 번도 허용치 않던 접촉이고, 애정이었다."
5,"그래서 나는 네가 싫다. 네가 아무리 날 가엾다, 사랑한다 속삭여도 결국 넌 내 어미가 아니니까. 어미는 나 대신 널 선택했으니까."
6,암울할 정도로 회색으로 가득한 하늘 너머로 새하얀 뭔가가 빛처럼 빛났다. 다급히 어미를 불렀다. 그러나 세차게 부는 바람처럼 가벼이 흘려버렸다. 목 끝까지 설움이 차올라 다시 어미를 불렀다.
7,이대로 놓을 수 없었다.
8,"달려가 어미의 풍성한 치맛자락을 붙잡았다. 이제껏 단 한 번도 만져보지 못했던 어미였다. 제발, 나도 데려가라고 애원했다. 이제 오라비가 날 어찌 보는지 신경 쓸 틈조차 없었다. 나는 다급했고 절박했다. 그러나 어미는 그런 나에게 자애로운 손길 하나 없었다. 애달픈 시선 하나 동정처럼 던져주지도 않았다."
9,“휘– 데르.”
10,짧은 명령에 어미의 치맛자락을 놓치고 데굴데굴 눈 덮인 벌판에 나뒹굴었다. 차가운 눈에 온 몸이 젖어들었다.
11,"열 달을 품고, 제 배로 낳았으면서 나는 어미의 자식이 아닌 정결한 새의 날개를 짓밟은 남자의 자식이었다."
12,"그것은 지난 10년간 변함없었다. 하지만 그럼에도 난 그녀의 하나뿐인 딸이었고, 그녀는 내 하나뿐인 어미였다. 어느새 하늘 위에 빛처럼 날던, 새하얀 눈보다 더 시린 커다란 새가 어미 앞에 유순한 양처럼 고개를 조아렸다."
13,그 거대한 몸집은 족히 성인을 여럿 태우고도 남을 정도였다. 온통 회색빛으로 어두운 하늘 아래 홀로 빛처럼 반짝였다. 그러나 황금을 녹인 것 같은 금빛 눈은 야수와도 같이 흉포하게 날 향했다. 내가 몸을 일으켜 다가가려 하자 새의 깃털과도 같은 빛의 새하얀 부리가 날카로운 검처럼 날 향했다.
14,"“나도! 제발, 나도 데려가!!”"
15,"저 부리가 두려워, 어미의 냉대가 차가워 눈에 젖은 채로 크게 울부짖었다. 그러나 어미의 손은 오직 오라비를 잡아끌며 집보다 더 커다란, 새의 등으로 올라갔다. 뒤늦게 달려갔지만, 새가 날아오르며 피워낸 거센 날갯짓에 서 있을 수가 없었다. 시린 바람에 눈조차 뜰 수가 없었다."
16,“엄마!!”
17,"악을 쓰고 눈을 뜨자 차가운 송곳 같은 바람이 눈알을 후벼 팠다. 그 불티가 쏘인 것 같은 통증에 비명을 내지르며 두 눈을 막았다. 세찬 눈동자 속 저 깊은 곳에서부터 뭔가가 얼어붙는 소리가 들려왔다. 그 아픔은 이내 눈처럼 녹아 사라졌지만, 눈을 감았다가 떴을 때, 이미 아무것도 없었다."
18,"눈 덮인 벌판에 새가 날아오르며 어미와 오라비의 발자국마저 지워버렸다. 마치, 처음부터 이곳엔 나만 있었다는 것처럼."
19,“돌아와!!”
20,들릴 턱이 없음에도 불렀다. 회색빛으로 물든 하늘에 대고 소리 질러도 돌아오지 않았다. 어디에도 그림자조차 없었다.
21,그제야.
22,"깨달았다, 어미에겐 나는 이 녹고 마는 눈처럼 기억할 필요도 없는 자식이란 걸."
23,"속에서부터 서러움이 터져 거친 김이 쏟아졌다. 그런데 아무것도 흐르지 않았다. 눈물은커녕, 표정조차 달라지지 않았다. 마치, 얼음을 뒤집어쓴 것 같았다."
24,나는 그제야 어미가 나 대신 내 눈물만을 가져갔다는 것을 깨달을 수가 있었다
25,
26,
27,
28,[작품후기]
29,이번의 컨셉은 도도한 아가씨와 애절 사스미 남주입니다 ....예정대로 이야기가 흘러가야 하는데..;ㅁ;
30,"'배다른' 을 '이부'로 수정했습니다. 으아, 죄송합니다 ㅠ 알려주신 기린 엄마 님 감사합니다 ㅠㅠ!!!"
31,1. 겨울 숲의 흰 사슴
32,
33,*
34,"해마다 새하얀 눈 위를 휘몰아치는 바람이 숨결을 멈추고, 얼었던 물줄기가 갈라져 메아리 소리가 울리는 겨울의 막바지가 되면 조용한 성이 술렁인다. 차가운 한기가 돌 벽 사이로 스미는 겨울 성에서 그나마 온기 서린 방의 벽난로 앞에 머물던 사내들이 동면을 끝낸 곰마냥 기어 나오기 시작한다."
35,평소엔 두꺼운 카펫으로 바닥의 냉기만을 가리던 성의 응접실이 이때만 되면 삼삼오오 모이는 사내들로 인해 커다란 벽난로에 땔감이 쉬지 않고 타올랐다.
36,곰처럼 느린 사내들도 이럴 진데 성의 여자들은 말할 것도 없이 더더욱 분주해진다.
37,"화덕에 두툼하게 살이 오른 생선을 찌고, 빻아 보관했던 곡식 가루에 찰 깨를 넣고 속살이 보드라운 빵을 굽는다. 얼려둔 푸른 채소를 살짝 녹여 어석어석 썰어 매운 향신료와 버무린 샐러드를 만들도, 절인 과일로 파이도 굽는다. 지하실에 보관한 포도주를 열어 향을 맡고, 달콤하게 절인 과실과 석쇠에 구운 양고기를 한 상 가득 차린다."
38,그러나 풍성하고 기름진 음식을 만드는 여자들의 얼굴이 밝지만은 않았다.
