,0
0,프롤로그
1,
2,필명 아가씨 01 - 프롤로그
3,"""오라버니, 이제 계속 수도에 있는 거야?"""
4,황녀는 자연스럽게 황제의 앞에 놓인 잔을 들어 마시며 물었다. 그 모습에 절로 나오는 한숨을 삼킨 워로드가 고개를 끄덕이며 입을 열었다.
5,"""일하라고 자리를 주셨으니 일을 해야지. 그래서 말인데, 로망 얼굴도 봤으니 저는 이만 일어나겠습니다. 기억하실지 모르겠지만, 오늘이 폐하께서 창단하신 수사단의 출범일이니까요."""
6,"""오, 그거 축하할 일이네. 그럼 차를 마실 게 아니라 와인이나 한잔할까?"""
7,어쩐지 처음으로 돌아간 듯한 대화에 워로드의 입이 다물렸다. 무엇보다 이미 홍차 석 잔을 연달아 들이켠 그는 무언가를 더 마시고 싶지 않았다.
8,황녀는 그 잠깐의 공백을 놓치지 않고 박력 넘치게 잔을 내려놓았다.
9,"""잠깐! 내 생일 선물 얘기하려고 모인 거 아니었어?"""
10,그녀의 말에 터무니없는 소리를 들었다는 듯 워로드의 미간이 구겨졌다.
11,"""아직 멀었잖아."""
12,그러나 반박은 그녀가 아니라 황제에게서 돌아왔다.
13,"""멀기는, 좋은 선물일수록 미리미리 준비해야지. 이 중에서 한 번 골라 보거라!"""
14,"황제가 자신만만하게 꺼내 든 것은 카탈로그 더미였다. 국내외를 넘나드는 카탈로그의 출처와 다양한 품목을 생각하면 이걸 모으는 것도 수고스러웠겠지만,"
15,"""와아."""
16,꾸며낸 탄성과 함께 그것을 받아든 황녀가 시녀에게 넘기기까지는 단 3초도 걸리지 않았다. 마치 물 흐르듯 자연스러운 움직임에 순식간에 빈손이 된 그녀가 해맑은 얼굴로 말했다.
17,"""올핸 그냥 기부나 해줘요, 내 이름으로!"""
18,"""아니, 어떻게 그런…!"""
19,"""그럼 다 정해진 거냐? 이제 가도 되지? 저 갑니다."""
20,그리고 말이 끝나기 무섭게 워로드는 후회했다.
21,말하지 말고 갈 것을…. 엉거주춤 일어난 그의 양손을 인질처럼 붙잡은 부녀가 소리쳤다.
22,"""내 딸이 이렇게 기특한 소리를 했는데 왜 아무런 반응이 없나? 칭찬 좀 하게, 이런 냉혈한 같으니!"""
23,"""오라버니가 줄 선물은 아직 안 말했잖아! 듣고 가!"""
24,카랑카랑한 목소리에 한쪽 눈을 찌푸린 그의 앞으로 네 번째 홍차가 놓였다. 그를 본 워로드는 깊은 한숨과 함께 다시 착석할 수밖에 없었다. 차라리 빨리 끝내고 갈 심산으로 그가 물었다.
25,"""뭔데."""
26,"그러자 황녀는 기다렸다는 듯 두꺼운 책을 테이블에 올려놓았다. 오, 황제는 그것의 정체를 잘 알고 있는지 짧은 탄성과 함께 손에 얼굴을 괴고 짓궂은 미소를 드리웠다."
27,"""나, 이 사람 만나고 싶어."""
28,터프하게 책을 올려놓은 것과 다르게 그녀는 붉어진 얼굴을 양손으로 감싸고 있었다. 소름 끼치는 점은 그 수줍음이 다른 누구도 아닌 책을 향하고 있다는 것이었다. 물론 그를 향하더라도 썩 기분이 좋을 것 같진 않다고 워로드는 생각했다.
29,"< 만찬 Ⅱ > 저자, 아가씨"
30,책 표지에는 그렇게 쓰여 있었다. 그에게 별 도움이 되는 정보는 아니었다.
31,"""아가씨? 요즘 요리책도 읽나?"""
32,"""요, 요리책? 어떻게 그렇게 말할 수 있어? 오라버닌 책도 안 읽어? 눈도 없어? 이 야만인!"""
33,순식간에 야만인이 된 워로드가 다시 자리에서 일어나려고 하자 테이블을 내려친 황녀는 마치 준비한 것 같은 광고성 문구를 줄줄 외웠다.
34,"""제국 최초의 여성 작가 ‘아가씨’가 그려내는 두 남녀의 극한 성장 드라마 ‘만찬’, 문맹 가구에도 1권쯤은 있다는 성서 다음으로 제국에서 가장 많이 팔린 책이자, 아마도 전쟁 영웅 워로드 루푸스만 빼고 다 아는 전쟁 소설일걸!"""
35,황녀의 비장한 외침 뒤에 황제의 박수 소리가 이어졌다. 영문 모를 워로드만이 팔짱을 낀 채 그 이상한 작태의 끝을 기다리고 있었다.
36,때맞춰 시녀가 건넨 손수건으로 눈물을 찍어내는 황녀의 모습은 워로드로 하여금 핏줄을 부정하고 싶게 만들었다.
37,"""오라버니도 읽어 봐. 이 소설은 인생의 지침서야, 내 인생의 나침반이라고! 그런데 이렇게 훌륭한 작가가 단지 여자라는 이유만으로 은거 생활을 하고 있어. ‘아가씨’라는 필명과 성별 외에 그녀에 대해 밝혀진 게 아무것도 없다고. 이게 말이 돼? 그럼 나는 언제 작가님 만나서 대화 나누고, 악수하고, 친구가 되냐고! 빨리빨리 찾아서 내 생일기념 기부는 어디에 하면 좋을지 같이 의논도 하고 그럼 좋잖아. 그렇죠, 폐하?"""
38,말이 길어질수록 심드렁해지는 워로드의 얼굴에 그녀가 선택한 것은 황제였다. 굳이 말하자면 그것은 아주 똑똑한 선택이었다. ‘아가씨’가 황녀에게 끼치는 긍정적인 영향을 알고 있던 황제는 딸의 마지막 말이 제법 그럴듯하게 들렸기 때문이었다.
39,그리고 그가 선택하면 제국민에게 남은 것은 따르는 일뿐이었다. 그것이 아무리 높은 곳에 있는 제국민이라 할지라도.
40,"""그래. 생각해보니 황녀에겐 스승이나 다름없는 자인데 아비 된 입장에 인사도 제대로 못 했구나. 이참에 찾아서 상을 내리는 것도 좋겠지. 워로드 백작."""
41,"""예, 폐하."""
